"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.928826130E-1,-7.182605099E-3,-2.873042040E-2,9.706093788E0,9.706138967E0
9.979180510E-1,5.027823523E-2,-1.915361360E-2,9.763554573E0,9.763702815E0
1.002953490E0,6.943184882E-2,9.576806799E-3,9.821015358E0,9.821265456E0
1.007988928E0,4.070143029E-2,-8.619125932E-2,9.859322548E0,9.859783296E0
1.013024365E0,-3.591302410E-2,-5.746084079E-2,9.907206535E0,9.907438258E0
1.018029286E0,4.070143029E-2,-3.830722719E-2,9.888052940E0,9.888210910E0
1.023064725E0,-7.422025502E-2,9.576806799E-3,9.821015358E0,9.821300475E0
1.028100162E0,-1.029506698E-1,-1.915361360E-2,9.763554573E0,9.764116120E0
1.033135600E0,1.197100803E-2,5.746084079E-2,9.734824181E0,9.735001124E0
1.038140521E0,3.112462163E-2,-8.619125932E-2,9.840168953E0,9.840595648E0
1.043175960E0,5.027823523E-2,-5.746084079E-2,9.878476143E0,9.878771207E0
1.048211397E0,-2.633621916E-2,-2.873042040E-2,9.926360130E0,9.926436645E0
1.053246835E0,1.077390760E-1,-4.788403213E-2,9.916783333E0,9.917484170E0
1.058282274E0,-1.675941236E-2,-2.873042040E-2,9.792284966E0,9.792341454E0
1.063287194E0,-6.464344263E-2,-3.830722719E-2,9.686940193E0,9.687231623E0
1.068322632E0,-3.591302410E-2,-1.436520964E-1,9.725247383E0,9.726374573E0
1.073358070E0,3.112462163E-2,-4.788403213E-2,9.792284966E0,9.792451505E0
1.078393509E0,-2.633621916E-2,-5.746084079E-2,9.888052940E0,9.888254967E0
1.083398429E0,-4.548983276E-2,-7.661445439E-2,9.859322548E0,9.859725159E0
1.088433867E0,2.154781483E-2,-5.746084079E-2,9.897629738E0,9.897819986E0
1.093469305E0,-2.633621916E-2,-8.619125932E-2,9.830592155E0,9.831005272E0
1.098504744E0,-5.506663769E-2,-7.661445439E-2,9.753977776E0,9.754434097E0
1.103540181E0,-5.506663769E-2,-3.830722719E-2,9.677363396E0,9.677595883E0
1.108545102E0,2.394201700E-3,-7.661445439E-2,9.706093788E0,9.706396454E0
1.113580540E0,-7.182605099E-3,1.915361360E-2,9.878476143E0,9.878497323E0
1.118615979E0,1.197100803E-2,0.000000000E0,9.935936928E0,9.935944139E0
1.123651416E0,9.816227108E-2,-5.746084079E-2,9.916783333E0,9.917435619E0
1.128686855E0,-7.182605099E-3,-2.873042040E-2,9.801861763E0,9.801906501E0
1.133691775E0,-5.506663769E-2,9.576806799E-3,9.753977776E0,9.754137917E0
1.138727213E0,3.112462163E-2,-2.873042040E-2,9.686940193E0,9.687032801E0
1.143762651E0,-3.591302410E-2,-2.873042040E-2,9.725247383E0,9.725356129E0
1.148798090E0,-1.675941236E-2,-5.746084079E-2,9.888052940E0,9.888234098E0
1.153833528E0,-4.548983276E-2,-6.703764945E-2,9.907206535E0,9.907537772E0
1.158838448E0,1.197100803E-2,4.788403213E-2,9.926360130E0,9.926482842E0
1.163873886E0,2.394201700E-3,-3.830722719E-2,9.868899345E0,9.868973982E0
1.168909324E0,2.394201700E-3,-1.053448766E-1,9.725247383E0,9.725818214E0
1.173944763E0,3.112462163E-2,0.000000000E0,9.696516991E0,9.696566944E0
1.178980200E0,-4.548983276E-2,-1.915361360E-2,9.782708168E0,9.782832682E0
1.183985121E0,-1.675941236E-2,-3.830722719E-2,9.859322548E0,9.859411211E0
1.189020559E0,4.070143029E-2,-9.576806426E-2,9.955090523E0,9.955634357E0
1.194055998E0,1.197100803E-2,-6.703764945E-2,9.916783333E0,9.917017143E0
1.199091435E0,1.197100803E-2,-7.661445439E-2,9.830592155E0,9.830897986E0
1.204126874E0,-2.633621916E-2,-2.873042040E-2,9.753977776E0,9.754055643E0
1.209131794E0,2.154781483E-2,-5.746084079E-2,9.753977776E0,9.754170826E0
1.214167232E0,-4.548983276E-2,-6.703764945E-2,9.696516991E0,9.696855424E0
1.219202670E0,1.197100803E-2,-1.053448766E-1,9.773131371E0,9.773706443E0
1.224238109E0,-2.633621916E-2,-4.788403213E-2,9.935936928E0,9.936087213E0
1.229243029E0,5.027823523E-2,-9.576806426E-2,9.945513725E0,9.946101884E0
1.234278467E0,-7.422025502E-2,-8.619125932E-2,9.821015358E0,9.821674004E0
1.239313905E0,-3.591302410E-2,9.576806799E-3,9.773131371E0,9.773202047E0
1.244349344E0,-5.506663769E-2,-7.661445439E-2,9.696516991E0,9.696976016E0
1.249354263E0,1.197100803E-2,-5.746084079E-2,9.734824181E0,9.735001124E0
1.254389702E0,6.943184882E-2,-9.576806799E-3,9.859322548E0,9.859571674E0
1.259425140E0,3.112462163E-2,-9.576806799E-3,9.897629738E0,9.897683309E0
1.264460579E0,8.858546615E-2,-2.873042040E-2,9.897629738E0,9.898067854E0
1.269496017E0,8.858546615E-2,0.000000000E0,9.926360130E0,9.926755403E0
1.274500937E0,4.070143029E-2,-3.830722719E-2,9.773131371E0,9.773291198E0
1.279536375E0,1.197100803E-2,1.915361360E-2,9.753977776E0,9.754003927E0
1.284571814E0,-1.675941236E-2,-3.830722719E-2,9.686940193E0,9.687030434E0
1.289607251E0,-2.633621916E-2,-5.746084079E-2,9.782708168E0,9.782912370E0
1.294612172E0,2.154781483E-2,-5.746084079E-2,9.916783333E0,9.916973214E0
1.299647610E0,2.394201700E-3,-9.576806799E-3,9.955090523E0,9.955095417E0
1.304683049E0,3.112462163E-2,-3.830722719E-2,9.821015358E0,9.821139386E0
1.309718486E0,1.197100803E-2,-2.873042040E-2,9.849745750E0,9.849794926E0
1.314753924E0,-7.182605099E-3,3.830722719E-2,9.677363396E0,9.677441879E0
1.319758845E0,-5.506663769E-2,-5.746084079E-2,9.706093788E0,9.706420077E0
1.324794283E0,-3.591302410E-2,2.873042040E-2,9.811438560E0,9.811546352E0
1.329829721E0,5.027823523E-2,-8.619125932E-2,9.916783333E0,9.917285339E0
1.334865159E0,2.154781483E-2,-1.149216816E-1,9.878476143E0,9.879168093E0
1.339900598E0,7.900865376E-2,1.915361360E-2,9.888052940E0,9.888387137E0
1.344905518E0,1.197100803E-2,-6.703764945E-2,9.725247383E0,9.725485798E0
1.349940956E0,-5.506663769E-2,-1.915361360E-2,9.734824181E0,9.734998769E0
1.354976394E0,-4.548983276E-2,-5.746084079E-2,9.773131371E0,9.773406154E0
1.360011833E0,-5.506663769E-2,-9.576806426E-2,9.773131371E0,9.773755708E0
1.365016753E0,2.154781483E-2,-3.830722719E-2,9.935936928E0,9.936034138E0
1.370052191E0,-7.182605099E-3,-2.873042040E-2,9.897629738E0,9.897674043E0
1.375087629E0,-7.182605099E-3,-6.703764945E-2,9.849745750E0,9.849976497E0
1.380123068E0,2.154781483E-2,-4.788403213E-2,9.821015358E0,9.821155729E0
1.385158505E0,-1.675941236E-2,-4.788403213E-2,9.753977776E0,9.754109708E0
1.390163426E0,-6.464344263E-2,3.830722719E-2,9.744400978E0,9.744690690E0
1.395198864E0,1.197100803E-2,-4.788403213E-2,9.801861763E0,9.801986034E0
1.400234302E0,-2.633621916E-2,-9.576806426E-2,9.926360130E0,9.926857033E0
1.405269740E0,5.985504389E-2,2.873042040E-2,9.897629738E0,9.897852418E0
1.410305178E0,-7.182605099E-3,2.873042040E-2,9.945513725E0,9.945557817E0
1.415310099E0,1.197100803E-2,-1.053448766E-1,9.859322548E0,9.859892593E0
1.420345537E0,2.154781483E-2,0.000000000E0,9.763554573E0,9.763578351E0
1.425380975E0,-5.506663769E-2,-7.661445439E-2,9.744400978E0,9.744857748E0
1.430416413E0,-3.591302410E-2,-1.915361360E-2,9.753977776E0,9.754062695E0
1.435421333E0,3.112462163E-2,-7.661445439E-2,9.878476143E0,9.878822269E0
1.440456772E0,1.197100803E-2,-1.915361360E-2,9.964667320E0,9.964692919E0
1.445492210E0,3.112462163E-2,1.915361360E-2,9.888052940E0,9.888120476E0
1.450527648E0,1.197100803E-2,-2.873042040E-2,9.773131371E0,9.773180932E0
1.455532568E0,3.112462163E-2,-1.915361360E-2,9.763554573E0,9.763622970E0
1.460568007E0,-1.675941236E-2,-6.703764945E-2,9.648633003E0,9.648880441E0
1.465603445E0,-4.548983276E-2,-2.873042040E-2,9.801861763E0,9.802009426E0
1.470638883E0,1.197100803E-2,4.788403213E-2,9.792284966E0,9.792409358E0
1.475674322E0,3.112462163E-2,-9.576806426E-2,9.907206535E0,9.907718284E0
1.480679242E0,5.027823523E-2,2.873042040E-2,9.907206535E0,9.907375771E0
1.485714680E0,7.900865376E-2,-2.873042040E-2,9.830592155E0,9.830951629E0
1.490750118E0,5.027823523E-2,-2.873042040E-2,9.744400978E0,9.744573041E0
1.495785556E0,2.394201700E-3,-4.788403213E-2,9.792284966E0,9.792402333E0
1.500790477E0,-3.591302410E-2,-4.788403213E-2,9.686940193E0,9.687125112E0
1.505825915E0,4.070143029E-2,-2.873042040E-2,9.821015358E0,9.821141721E0
1.510861353E0,5.027823523E-2,-4.788403213E-2,9.878476143E0,9.878720144E0
1.515896791E0,-3.591302410E-2,-1.244984865E-1,9.897629738E0,9.898477865E0
1.520901712E0,2.394201700E-3,2.873042040E-2,9.868899345E0,9.868941456E0
1.525937150E0,-6.464344263E-2,-3.830722719E-2,9.744400978E0,9.744690690E0
1.530972587E0,2.394201700E-3,-3.830722719E-2,9.715670586E0,9.715746400E0
1.536008026E0,4.070143029E-2,-6.703764945E-2,9.725247383E0,9.725563599E0
1.541043464E0,-7.182605099E-3,-5.746084079E-2,9.744400978E0,9.744573041E0
1.546048385E0,-1.675941236E-2,-2.873042040E-2,9.897629738E0,9.897685626E0
1.551083822E0,3.112462163E-2,-6.703764945E-2,9.993397713E0,9.993671029E0
1.556119261E0,-4.548983276E-2,0.000000000E0,9.840168953E0,9.840274099E0
1.561154699E0,-2.633621916E-2,-5.746084079E-2,9.782708168E0,9.782912370E0
